Month,Year,ev_date,State,latitude,longitude,Landslide Count,Years
1,2006,1/10/2006 9:00,Washington,47.0708,-122.7007,10,2006
1,2006,1/10/2006 9:00,Washington,47.8961,-122.3263,40,2007
12,2006,12/15/2006 23:00,Washington,47.6325,-122.3232,80,2008
1,2006,1/6/2006 8:00,Washington,47.7017,-122.392,74,2009
1,2006,1/10/2006 9:00,Washington,47.0645,-122.4007,289,2010
11,2006,11/7/2006 9:00,Oregon,44.1029,-124.1207,368,2011
1,2006,1/10/2006 9:00,Washington,47.7573,-122.3786,119,2012
12,2006,12/26/2006 23:00,Washington,47.7125,-122.3793,241,2013
2,2006,2/28/2006 9:00,Washington,47.5309,-122.2374,177,2014
12,2006,12/14/2006 0:00,Washington,47.6416,-122.2199,239,2015
12,2007,12/11/2007 12:00,Oregon,46.1049,-123.336,147,2016
12,2007,12/16/2007 0:00,Pennsylvania,40.3875,-79.7569,405,2017
12,2007,12/5/2007 0:00,Washington,47.645,-122.416,179,2018
12,2007,12/3/2007 0:00,Washington,47.0568,-123.0135,5,2019
8,2007,8/19/2007 0:00,Wisconsin,43.6796,-91.2194,4,2020
9,2007,9/17/2007 0:00,Colorado,39.5542,-107.5798,2,2021
7,2007,7/24/2007 0:00,Texas,32.7883,-97.0317,,
10,2007,10/18/2007 0:00,Oregon,45.2729,-122.6717,,
4,2007,4/24/2007 0:00,Iowa,42.4941,-96.4576,,
2,2007,2/11/2007 0:00,California,38.4909,-122.3494,,
7,2007,7/1/2007 0:00,Texas,32.7995,-97.2688,,
12,2007,12/3/2007 0:00,Washington,47.3434,-123.1628,,
8,2007,8/14/2007 0:00,Colorado,39.9425,-107.8818,,
12,2007,12/4/2007 17:30,Oregon,43.6768,-123.8673,,
10,2007,10/30/2007 0:00,California,35.1368,-118.4948,,
4,2007,4/6/2007 0:00,Pennsylvania,40.4377,-79.916,,
7,2007,7/17/2007 0:00,Oregon,46.1836,-123.8203,,
10,2007,10/14/2007 6:45,California,34.3778,-118.47,,
8,2007,8/20/2007 0:00,Ohio,39.958,-80.7935,,
9,2007,9/5/2007 0:00,Idaho,43.6846,-114.4194,,
