fatality_count,Month,Year,event_date,Landslide_Amt,Fatality count,Landslide Count,,Month_Names,Months,Landslides per month,Death per month,,Years,Landslides per year
,4,1916,4/21/1916,1,134,3952,,Jan,1,483,22,,1916,1
,1,1956,1/1/1956,2,,,,Feb,2,425,3,,1956,1
0,12,1961,12/15/1961,3,,,,Mar,3,621,47,,1961,1
0,5,1968,5/29/1968,4,,,,Apr,4,285,1,,1968,1
,1,1969,1/15/1969,5,,,,May,5,325,11,,1969,1
,6,1978,6/14/1978,6,,,,Jun,6,180,5,,1978,1
0,12,1996,12/26/1996,7,,,,Jul,7,278,13,,1996,3
0,2,1996,2/2/1996,8,,,,Aug,8,203,7,,1997,8
0,12,1996,12/26/1996,9,,,,Sept,9,214,13,,1998,12
0,1,1997,1/1/1997,10,,,,Oct,10,141,3,,1999,0
0,1,1997,1/1/1997,11,,,,Nov,11,208,1,,2000,0
0,1,1997,1/15/1997,12,,,,Dec,12,589,8,,2001,0
0,1,1997,1/1/1997,13,,,,,,,,,2002,0
0,1,1997,1/19/1997,14,,,,,,,,,2003,1
0,1,1997,1/1/1997,15,,,,,,,,,2004,0
0,1,1997,1/19/1997,16,,,,,,,,,2005,4
0,1,1997,1/19/1997,17,,,,,,,,,2006,11
0,12,1998,12/28/1998,18,,,,,,,,,2007,51
0,12,1998,12/28/1998,19,,,,,,,,,2008,93
0,12,1998,12/28/1998,20,,,,,,,,,2009,91
0,12,1998,12/28/1998,21,,,,,,,,,2010,299
0,12,1998,12/28/1998,22,,,,,,,,,2011,499
0,12,1998,12/28/1998,23,,,,,,,,,2012,350
0,12,1998,12/28/1998,24,,,,,,,,,2013,345
0,12,1998,12/28/1998,25,,,,,,,,,2014,400
0,12,1998,12/28/1998,26,,,,,,,,,2015,537
0,12,1998,12/28/1998,27,,,,,,,,,2016,375
0,12,1998,12/28/1998,28,,,,,,,,,2017,587
0,12,1998,12/28/1998,29,,,,,,,,,2018,261
0,11,2003,11/9/2003,30,,,,,,,,,2019,8
0,11,2005,11/6/2005,31,,,,,,,,,2020,7
,2,2005,2/6/2005,32,,,,,,,,,2021,3
0,7,2005,7/1/2005,33,,,,,,,,,2022,1
3,9,2005,9/11/2005,34,,,,,,,,,,
0,12,2006,12/15/2006,35,,,,,,,,,,
0,1,2006,1/10/2006,36,,,,,,,,,,
0,1,2006,1/10/2006,37,,,,,,,,,,
0,12,2006,12/26/2006,38,,,,,,,,,,
0,1,2006,1/6/2006,39,,,,,,,,,,
0,12,2006,12/14/2006,40,,,,,,,,,,
0,1,2006,1/10/2006,41,,,,,,,,,,
0,1,2006,1/10/2006,42,,,,,,,,,,
0,2,2006,2/28/2006,43,,,,,,,,,,
0,11,2006,11/7/2006,44,,,,,,,,,,
0,1,2006,1/10/2006,45,,,,,,,,,,
,10,2007,10/18/2007,46,,,,,,,,,,
,2,2007,2/15/2007,47,,,,,,,,,,
,9,2007,9/17/2007,48,,,,,,,,,,
,3,2007,3/28/2007,49,,,,,,,,,,
,8,2007,8/20/2007,50,,,,,,,,,,
,11,2007,11/2/2007,51,,,,,,,,,,
,9,2007,9/6/2007,52,,,,,,,,,,
,8,2007,8/18/2007,53,,,,,,,,,,
,12,2007,12/5/2007,54,,,,,,,,,,
,10,2007,10/12/2007,55,,,,,,,,,,
,7,2007,7/24/2007,56,,,,,,,,,,
0,12,2007,12/11/2007,57,,,,,,,,,,
,3,2007,3/22/2007,58,,,,,,,,,,
,8,2007,8/18/2007,59,,,,,,,,,,
0,2,2007,2/25/2007,60,,,,,,,,,,
,12,2007,12/3/2007,61,,,,,,,,,,
0,6,2007,6/1/2007,62,,,,,,,,,,
,12,2007,12/4/2007,63,,,,,,,,,,
,8,2007,8/19/2007,64,,,,,,,,,,
,4,2007,4/20/2007,65,,,,,,,,,,
,11,2007,11/3/2007,66,,,,,,,,,,
,12,2007,12/12/2007,67,,,,,,,,,,
,7,2007,7/1/2007,68,,,,,,,,,,
,7,2007,7/17/2007,69,,,,,,,,,,
,10,2007,10/14/2007,70,,,,,,,,,,
,4,2007,4/6/2007,71,,,,,,,,,,
,11,2007,11/28/2007,72,,,,,,,,,,
0,11,2007,11/13/2007,73,,,,,,,,,,
0,4,2007,4/13/2007,74,,,,,,,,,,
,12,2007,12/3/2007,75,,,,,,,,,,
,8,2007,8/14/2007,76,,,,,,,,,,
0,12,2007,12/8/2007,77,,,,,,,,,,
,10,2007,10/30/2007,78,,,,,,,,,,
,9,2007,9/5/2007,79,,,,,,,,,,
,7,2007,7/25/2007,80,,,,,,,,,,
,8,2007,8/19/2007,81,,,,,,,,,,
,11,2007,11/30/2007,82,,,,,,,,,,
0,4,2007,4/15/2007,83,,,,,,,,,,
,12,2007,12/8/2007,84,,,,,,,,,,
,9,2007,9/22/2007,85,,,,,,,,,,
,12,2007,12/7/2007,86,,,,,,,,,,
,7,2007,7/25/2007,87,,,,,,,,,,
,4,2007,4/24/2007,88,,,,,,,,,,
,8,2007,8/18/2007,89,,,,,,,,,,
3,12,2007,12/16/2007,90,,,,,,,,,,
,2,2007,2/27/2007,91,,,,,,,,,,
,2,2007,2/11/2007,92,,,,,,,,,,
,3,2007,3/26/2007,93,,,,,,,,,,
1,12,2007,12/3/2007,94,,,,,,,,,,
0,10,2007,10/3/2007,95,,,,,,,,,,
,3,2007,3/2/2007,96,,,,,,,,,,
,7,2008,7/22/2008,97,,,,,,,,,,
,11,2008,11/21/2008,98,,,,,,,,,,
,10,2008,10/10/2008,99,,,,,,,,,,
,8,2008,8/6/2008,100,,,,,,,,,,
0,3,2008,3/4/2008,101,,,,,,,,,,
,7,2008,7/3/2008,102,,,,,,,,,,
,7,2008,7/27/2008,103,,,,,,,,,,
,11,2008,11/3/2008,104,,,,,,,,,,
,12,2008,12/22/2008,105,,,,,,,,,,
,5,2008,5/21/2008,106,,,,,,,,,,
,11,2008,11/22/2008,107,,,,,,,,,,
,1,2008,1/31/2008,108,,,,,,,,,,
,12,2008,12/17/2008,109,,,,,,,,,,
,8,2008,8/7/2008,110,,,,,,,,,,
,7,2008,7/9/2008,111,,,,,,,,,,
,12,2008,12/24/2008,112,,,,,,,,,,
,8,2008,8/6/2008,113,,,,,,,,,,
,8,2008,8/19/2008,114,,,,,,,,,,
,6,2008,6/29/2008,115,,,,,,,,,,
,7,2008,7/22/2008,116,,,,,,,,,,
,5,2008,5/28/2008,117,,,,,,,,,,
,9,2008,9/20/2008,118,,,,,,,,,,
,12,2008,12/15/2008,119,,,,,,,,,,
,8,2008,8/23/2008,120,,,,,,,,,,
,4,2008,4/8/2008,121,,,,,,,,,,
,10,2008,10/8/2008,122,,,,,,,,,,
,7,2008,7/16/2008,123,,,,,,,,,,
0,12,2008,12/15/2008,124,,,,,,,,,,
,8,2008,8/8/2008,125,,,,,,,,,,
,12,2008,12/14/2008,126,,,,,,,,,,
,7,2008,7/9/2008,127,,,,,,,,,,
,12,2008,12/16/2008,128,,,,,,,,,,
,5,2008,5/12/2008,129,,,,,,,,,,
,8,2008,8/4/2008,130,,,,,,,,,,
0,3,2008,3/9/2008,131,,,,,,,,,,
,6,2008,6/7/2008,132,,,,,,,,,,
,5,2008,5/23/2008,133,,,,,,,,,,
,12,2008,12/11/2008,134,,,,,,,,,,
,6,2008,6/20/2008,135,,,,,,,,,,
,8,2008,8/24/2008,136,,,,,,,,,,
,12,2008,12/22/2008,137,,,,,,,,,,
,4,2008,4/13/2008,138,,,,,,,,,,
,5,2008,5/22/2008,139,,,,,,,,,,
,8,2008,8/7/2008,140,,,,,,,,,,
,4,2008,4/29/2008,141,,,,,,,,,,
,8,2008,8/7/2008,142,,,,,,,,,,
,11,2008,11/26/2008,143,,,,,,,,,,
,1,2008,1/6/2008,144,,,,,,,,,,
,4,2008,4/29/2008,145,,,,,,,,,,
,7,2008,7/9/2008,146,,,,,,,,,,
,1,2008,1/28/2008,147,,,,,,,,,,
,1,2008,1/7/2008,148,,,,,,,,,,
,2,2008,2/9/2008,149,,,,,,,,,,
,1,2008,1/6/2008,150,,,,,,,,,,
,12,2008,12/22/2008,151,,,,,,,,,,
1,1,2008,1/7/2008,152,,,,,,,,,,
,8,2008,8/26/2008,153,,,,,,,,,,
,4,2008,4/1/2008,154,,,,,,,,,,
0,5,2008,5/11/2008,155,,,,,,,,,,
,6,2008,6/16/2008,156,,,,,,,,,,
,10,2008,10/7/2008,157,,,,,,,,,,
,7,2008,7/12/2008,158,,,,,,,,,,
,1,2008,1/1/2008,159,,,,,,,,,,
,7,2008,7/22/2008,160,,,,,,,,,,
,8,2008,8/28/2008,161,,,,,,,,,,
,4,2008,4/25/2008,162,,,,,,,,,,
,11,2008,11/20/2008,163,,,,,,,,,,
,3,2008,3/14/2008,164,,,,,,,,,,
,11,2008,11/26/2008,165,,,,,,,,,,
0,3,2008,3/10/2008,166,,,,,,,,,,
0,3,2008,3/16/2008,167,,,,,,,,,,
,3,2008,3/24/2008,168,,,,,,,,,,
,7,2008,7/22/2008,169,,,,,,,,,,
,1,2008,1/10/2008,170,,,,,,,,,,
,7,2008,7/5/2008,171,,,,,,,,,,
,7,2008,7/15/2008,172,,,,,,,,,,
,12,2008,12/26/2008,173,,,,,,,,,,
